Ссылка;Название;Название ин.;Дата выхода;Длительность;Страна;Жанр;Режиссёр;В главных ролях;РейтингКол-во оценок
https://www.kinopoisk.ru//film/392541/;Освобождение: Последний штурм;no eng title;1971;75;СССР;военный;Юрий Озеров;Николай Олялин, Михаил Ножкин;8,3;24117
https://www.kinopoisk.ru//film/392539/;Освобождение: Прорыв;no eng title;1969;85;СССР;драма;Юрий Озеров;Николай Олялин, Борис Зайденберг;8,2;18947
https://www.kinopoisk.ru//film/42831/;От Буга до Вислы;no eng title;1981;140;СССР;военный;Тимофей Левчук;Михай Волонтир, Лесь Сердюк;6,5;2132
https://www.kinopoisk.ru//film/44218/;Отец солдата;no eng title;1964;87;СССР;драма;Резо Чхеидзе;Серго Закариадзе, Владимир Привальцев;8,3;36443
https://www.kinopoisk.ru//film/42850/;Отряд;no eng title;1984;97;СССР;драма;Алексей Симонов;Александр Феклистов, Сергей Гармаш;7,5;2573
https://www.kinopoisk.ru//series/468116/;Отряд специального назначения;no eng title;1987;69;СССР;приключения;Георгий Кузнецов;Александр Михайлов, Юрий Гребенщиков;7,0;2508
https://www.kinopoisk.ru//film/42736/;Офицеры;no eng title;1971;91;СССР;драма;Владимир Роговой;Георгий Юматов, Василий Лановой;8,5;207135
https://www.kinopoisk.ru//film/42754/;Охота на единорога;no eng title;1989;79;СССР;драма;Владимир Лаптев;Сергей Быстрицкий, Виталий Зикора;7,2;2052
https://www.kinopoisk.ru//film/42919/;Перед рассветом;no eng title;1989;85;СССР;боевик;Ярополк Лапшин;Валерий Рыжаков, Александр Панкратов-Чёрный;7,6;5400
https://www.kinopoisk.ru//film/149791/;Песнь прошедших дней;no eng title;1982;89;СССР;драма;Альберт Мкртчян;Шаум Казарян, Фрунзик Мкртчян;8,2;872
https://www.kinopoisk.ru//film/43026/;Победа на Правобережной Украине;no eng title;1945;73;СССР;документальный;Александр Довженко;no main roles;6,4;362
https://www.kinopoisk.ru//film/43184/;Повесть о настоящем человеке;no eng title;1948;96;СССР;драма;Александр Столпер;Павел Кадочников, Николай Охлопков;7,9;7157
https://www.kinopoisk.ru//film/94293/;Подвиг Одессы;no eng title;1985;138;СССР;военный;Владимир Стрелков;Всеволод Шиловский, Роман Громадский;6,9;1010
https://www.kinopoisk.ru//film/43057/;Подвиг разведчика;no eng title;1947;91;СССР;триллер;Борис Барнет;Павел Кадочников, Виктор Добровольский;7,1;3844
https://www.kinopoisk.ru//film/43052/;Подснежники и эдельвейсы;no eng title;1982;88;СССР;приключения;Левон Григорян;Лоренц Арушанян, Аршак Ховханнисян;5,7;363
https://www.kinopoisk.ru//film/43101/;Полонез Огинского;no eng title;1971;89;СССР;драма;Лев Голуб;Геннадий Юхтин, Олев Эскола;6,8;1048
https://www.kinopoisk.ru//film/161184/;Полумгла;no eng title;2005;103;Россия;драма;Артем Антонов;Юрий Тарасов, Сергей Грязнов;7,0;1757
https://www.kinopoisk.ru//film/427887/;Поп;no eng title;2009;124;Россия;драма;Владимир Хотиненко;Сергей Маковецкий, Нина Усатова;7,4;33717
https://www.kinopoisk.ru//film/43127/;Порох;no eng title;1985;92;СССР;драма;Виктор Аристов;Юрий Беляев, Светлана Брагарник;7,3;2062
