Ссылка;Название;Название ин.;Дата выхода;Длительность;Страна;Жанр;Режиссёр;В главных ролях;РейтингКол-во оценок
https://www.kinopoisk.ru//film/4992420/;SuperАлиби 2;Alibi.com 2;2023;88;Франция;комедия;Филипп Лашо;Филипп Лашо, Элоди Фонтан;0;1375
https://www.kinopoisk.ru//film/441/;Принцесса Мононоке;Mononoke-hime;1997;134;Япония;аниме;Хаяо Миядзаки;Ёдзи Мацуда, Юрико Исида;8,2;161863
https://www.kinopoisk.ru//film/472362/;Миссия невыполнима: Протокол Фантом;Mission: Impossible - Ghost Protocol;2011;132;США;боевик;Брэд Бёрд;Том Круз, Пола Пэттон;7,3;136531
https://www.kinopoisk.ru//film/46708/;Москва слезам не верит;no eng title;1979;150;СССР;мелодрама;Владимир Меньшов;Вера Алентова, Ирина Муравьёва;8,4;604992
https://www.kinopoisk.ru//film/779602/;Кто я;Who Am I - Kein System ist sicher;2014;102;Германия;фантастика;Баран бо Одар;Том Шиллинг, Элиас М’Барек;7,4;105563
https://www.kinopoisk.ru//film/4308624/;Затерянный город;The Lost City;2022;112;США;комедия;Аарон Ни;Сандра Буллок, Ченнинг Татум;0;76673
https://www.kinopoisk.ru//film/824437/;Меч короля Артура;King Arthur: Legend of the Sword;2017;126;Великобритания;фэнтези;Гай Ричи;Чарли Ханнэм, Астрид Берже-Фрисби;7,2;307660
https://www.kinopoisk.ru//film/4778462/;Нефариус;Nefarious;2023;97;США;триллер;Чак Конзелман;Джордан Бэлфи, Шон Патрик Флэнери;0;1864
https://www.kinopoisk.ru//film/61249/;Тачки;Cars;2006;112;США;мультфильм;Джон Лассетер;Оуэн Уилсон, Пол Ньюман;7,5;382603
https://www.kinopoisk.ru//film/4749790/;Варвар;Barbarian;2022;102;США;ужасы;Зак Креггер;Джорджина Кэмпбелл, Билл Скарсгард;0;30561
https://www.kinopoisk.ru//film/6006/;Мадагаскар;Madagascar;2005;86;США;мультфильм;Эрик Дарнелл;Бен Стиллер, Крис Рок;8,0;428918
https://www.kinopoisk.ru//film/1111788/;Блуждающая Земля;Liu lang di qiu;2019;125;Китай;фантастика;Франт Гво;Джеки У, Цюй Чусяо;0;16321
https://www.kinopoisk.ru//film/463634/;Веном;Venom;2018;112;США;фантастика;Рубен Фляйшер;Том Харди, Мишель Уильямс;0;794631
https://www.kinopoisk.ru//film/840266/;Чип и Дейл спешат на помощь;Chip 'n Dale: Rescue Rangers;2022;97;США;мультфильм;Акива Шаффер;Энди Сэмберг, Джон Малэйни;0;27169
https://www.kinopoisk.ru//film/7640/;Двухсотлетний человек;Bicentennial Man;1999;126;Германия;фантастика;Крис Коламбус;Робин Уильямс, Эмбет Дэвидц;8,1;184680
https://www.kinopoisk.ru//film/732625/;Ампир V;no eng title;2022;114;Россия;фэнтези;Виктор Гинзбург;Павел Табаков, Таисия Радченко;0;0
https://www.kinopoisk.ru//film/919720/;С пяти до семи;no eng title;2015;107;Латвия;драма;Владимир Щегольков;Александр Ильин мл., Дарья Мельникова;0;5787
https://www.kinopoisk.ru//film/688/;Гарри Поттер и Тайная комната;Harry Potter and the Chamber of Secrets;2002;161;Великобритания;фэнтези;Крис Коламбус;Дэниэл Рэдклифф, Руперт Гринт;8,1;593166
https://www.kinopoisk.ru//film/484878/;127 часов;127 Hours;2010;93;Великобритания;триллер;Дэнни Бойл;Джеймс Франко, Кейт Мара;7,7;253811
https://www.kinopoisk.ru//film/518042/;Агенты А.Н.К.Л.;The Man from U.N.C.L.E.;2015;116;США;боевик;Гай Ричи;Генри Кавилл, Арми Хаммер;7,6;244308
https://www.kinopoisk.ru//film/1152188/;В тихом омуте;I See You;2019;98;США;триллер;Адам Рэндолл;Хелен Хант, Джон Тенни;0;77295
https://www.kinopoisk.ru//film/86621/;Бесподобный мистер Фокс;Fantastic Mr. Fox;2009;87;Великобритания;мультфильм;Уэс Андерсон;Джордж Клуни, Мэрил Стрип;8,0;89997
https://www.kinopoisk.ru//film/280961/;5 сантиметров в секунду;Byousoku 5 Centimeter;2007;63;Япония;аниме;Макото Синкай;Кэндзи Мидзухаси, Ёсими Кондо;7,9;131146
https://www.kinopoisk.ru//film/582170/;Мы — Миллеры;We're the Millers;2013;110;США;комедия;Роусон Маршалл Тёрбер;Дженнифер Энистон, Джейсон Судейкис;7,2;323594
https://www.kinopoisk.ru//film/464484/;Облачный атлас;Cloud Atlas;2012;172;США;фантастика;Лана Вачовски;Том Хэнкс, Холли Берри;7,7;299378
https://www.kinopoisk.ru//film/89514/;Рататуй;Ratatouille;2007;111;США;мультфильм;Брэд Бёрд;Пэттон Освальт, Иэн Холм;8,0;696718
https://www.kinopoisk.ru//film/512883/;Как приручить дракона 2;How to Train Your Dragon 2;2014;105;США;мультфильм;Дин ДеБлуа;Джей Барушель, Кейт Бланшетт;8,0;289066
https://www.kinopoisk.ru//film/104927/;Отпуск по обмену;The Holiday;2006;136;США;мелодрама;Нэнси Майерс;Кэмерон Диас, Кейт Уинслет;7,8;373166
https://www.kinopoisk.ru//film/4500944/;Стрела возмездия;Avarice;2022;88;Австралия;боевик;Джон В. Сото;Джиллиан Алекси, Люк Форд;0;11292
https://www.kinopoisk.ru//film/463724/;Великий Гэтсби;The Great Gatsby;2013;143;Австралия;драма;Баз Лурман;Леонардо ДиКаприо, Тоби Магуайр;7,9;431005
https://www.kinopoisk.ru//film/5264310/;Обитель зла: Остров смерти;Resident Evil: Death Island;2023;87;Япония;мультфильм;Эйитиро Хасуми;Эрин Кэхилл, Кевин Дорман;0;0
https://www.kinopoisk.ru//film/278217/;Новый Человек-паук;The Amazing Spider-Man;2012;131;США;фантастика;Марк Уэбб;Эндрю Гарфилд, Эмма Стоун;0;324213
https://www.kinopoisk.ru//film/1344821/;Главная роль;Competencia oficial;2021;115;Испания;драма;Мариано Кон;Пенелопа Крус, Антонио Бандерас;7,0;72932
https://www.kinopoisk.ru//film/77720/;Идиократия;Idiocracy;2005;84;США;фантастика;Майк Джадж;Люк Уилсон, Майя Рудольф;0;79368
